"plant_ID","binomial_acc_name","author_acc_name","is_hybrid","AnimalFood","EnvironmentalUses","Fuels","GeneSources","HumanFood","InvertebrateFood","Materials","Medicines","Poisons","SocialUses","Totals"
1,"Aaronsohnia factorovskyi","Warb. & Eig",FALSE,0,0,0,0,0,0,0,1,0,0,1
2,"Abarema alexandri","(Urb.) Barneby & J.W.Grimes",FALSE,0,0,0,0,0,0,1,0,0,0,1
3,"Abarema cochliacarpos","(Gomes) Barneby & J.W.Grimes",FALSE,0,0,0,0,0,0,0,1,0,0,1
4,"Abarema jupunba","(Willd.) Britton & Killip",FALSE,0,0,0,0,0,0,1,1,0,0,2
5,"Abarema laeta","(Benth.) Barneby & J.W.Grimes",FALSE,0,0,0,0,0,0,0,1,0,0,1
6,"Abeliophyllum distichum","Nakai",FALSE,0,1,0,0,0,0,0,0,0,0,1
7,"Abelmoschus angulosus","Wall. & Arn.",FALSE,0,0,0,0,0,0,0,1,0,0,1
8,"Abelmoschus crinitus","Wall.",FALSE,0,0,0,0,0,0,0,1,0,0,1
9,"Abelmoschus esculentus","(L.) Moench",FALSE,1,1,1,1,1,0,1,1,1,1,9
10,"Abelmoschus ficulneus","(L.) Wight & Arn.",FALSE,0,1,0,1,1,0,1,1,0,0,5
11,"Abelmoschus manihot","(L.) Medik.",FALSE,1,1,0,1,1,0,1,1,0,1,7
12,"Abelmoschus moschatus","Medik.",FALSE,0,1,0,1,1,1,1,1,1,0,7
13,"Abelmoschus sagittifolius","(Kurz) Merr.",FALSE,0,0,0,0,0,0,0,1,0,0,1
14,"Abies alba","Mill.",FALSE,0,0,0,0,0,0,1,1,0,0,2
15,"Abies amabilis","(Loudon) J.Forbes",FALSE,0,1,0,0,0,0,1,1,0,1,4
16,"Abies balsamea","(L.) Mill.",FALSE,0,1,0,0,0,0,1,1,0,1,4
17,"Abies cephalonica","Loudon",FALSE,0,1,0,0,0,0,1,1,0,0,3
18,"Abies cilicica","(Antoine & Kotschy) Carri<e8>re",FALSE,0,0,0,0,0,0,1,1,0,0,2
19,"Abies concolor","(Gordon & Glend.) Lindl. ex Hildebr.",FALSE,0,1,0,0,0,0,1,1,0,1,4
20,"Abies densa","Griff.",FALSE,0,0,0,0,0,0,0,1,0,0,1
21,"Abies firma","Siebold & Zucc.",FALSE,0,1,0,0,0,0,1,0,0,0,2
22,"Abies fraseri","(Pursh) Poir.",FALSE,0,1,0,0,0,0,1,1,0,1,4
23,"Abies grandis","(D.Don) Lindl.",FALSE,0,1,0,0,0,0,1,1,0,1,4
24,"Abies guatemalensis","Rehder",FALSE,0,0,0,0,0,0,1,0,0,0,1
25,"Abies homolepis","Siebold & Zucc.",FALSE,0,1,0,0,0,0,0,0,0,0,1
26,"Abies koreana","E.H.Wilson",FALSE,0,1,0,0,0,0,0,0,0,0,1
27,"Abies lasiocarpa","(Hook.) Nutt.",FALSE,0,1,0,0,0,0,1,1,0,0,3
28,"Abies magnifica","A.Murray bis",FALSE,0,1,0,0,0,0,1,0,0,0,2
29,"Abies nephrolepis","(Trautv.) Maxim.",FALSE,0,0,0,0,0,0,1,0,0,0,1
30,"Abies nordmanniana","(Steven) Spach",FALSE,0,1,0,0,0,0,1,1,0,1,4
31,"Abies numidica","ex Carri<e8>re",FALSE,0,1,0,0,0,0,0,0,0,0,1
32,"Abies pindrow","(D.Don) Royle",FALSE,0,0,0,0,0,0,1,1,0,0,2
33,"Abies pinsapo","Boiss.",FALSE,0,1,0,0,0,0,1,0,0,0,2
34,"Abies procera","Rehder",FALSE,0,1,0,0,0,0,1,1,0,1,4
35,"Abies recurvata","Mast.",FALSE,0,0,0,0,0,0,1,0,0,0,1
36,"Abies religiosa","(Kunth) Schltdl. & Cham.",FALSE,0,0,0,0,0,0,1,1,0,0,2
37,"Abies sachalinensis","(F.Schmidt) Mast.",FALSE,0,1,0,0,0,0,1,1,0,0,3
38,"Abies sibirica","Ledeb.",FALSE,0,0,0,0,0,0,1,1,0,0,2
39,"Abies spectabilis","(D.Don) Mirb.",FALSE,0,0,0,0,0,0,1,1,0,0,2
40,"Abies veitchii","Lindl.",FALSE,0,1,0,0,0,0,1,0,0,1,3
41,"Abrahamia grandidieri","(Engl.) Randrian. & Lowry",FALSE,0,0,0,0,0,0,1,1,0,0,2
42,"Abroma augustum","(L.) L.f.",FALSE,0,1,0,1,1,0,1,1,0,1,6
43,"Abronia elliptica","A.Nelson",FALSE,0,0,0,0,0,0,0,1,0,0,1
44,"Abronia fragrans","Nutt. ex Hook.",FALSE,0,0,0,0,0,0,0,1,0,0,1
45,"Abronia latifolia","Eschsch.",FALSE,0,0,0,0,0,0,0,1,0,0,1
46,"Abronia maritima","Nutt. ex S.Watson",FALSE,0,0,0,0,0,0,0,1,0,0,1
47,"Abronia turbinata","Torr. ex S.Watson",FALSE,0,0,0,0,0,0,0,1,0,0,1
48,"Abronia villosa","S.Watson",FALSE,0,0,0,0,0,0,0,1,0,0,1
49,"Abrus canescens","Welw. ex Baker",FALSE,0,0,0,0,0,0,0,1,0,0,1
50,"Abrus fruticulosus","Wall. & Arn.",FALSE,0,0,0,0,0,0,1,1,0,0,2
51,"Abrus laevigatus","E.Mey.",FALSE,0,1,0,0,0,0,1,1,0,0,3
